type,response,migr,age_log,age,age_sb,sex,sexFemale:age,who_sqrt,who,who_sb,who:sexFemale,who:age,viol,ses,ptsd,ptsd_sb,smok,bp_log,bp,bp_sb,mari
b,migr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,age_log,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
pas,age,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pas,age_sb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,sex,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
pas,sexFemale:age,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,who_sqrt,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
pas,who,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pas,who_sb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pas,who:sexFemale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pas,who:age,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
b,viol,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0
o,ses,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
c,ptsd,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
pas,ptsd_sb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
b,smok,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
c,bp_log,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pas,bp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pas,bp_sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
u,mari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
